country_name,REGION,SUBREGION,UN,spatial,temporal,V2022,V2024S1T5,f_file_name
Bahrain,142,145,48,1,2,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/c534fq70v),bahrain_s1t2
Bangladesh,142,34,50,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/d791sh33k),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5d86p199z),bangladesh_s1t2
Barbados,19,29,52,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/x633f230f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/m613n033c),barbados_s3t8
Belarus,150,151,112,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/r781wh632),belarus_s5t11
Belgium,150,155,56,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/hh63sx489),belgium_s5t11
Belize,19,13,84,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/q524jq679),belize_s3t8
Benin,2,11,204,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/z603qz58m),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/fb494b180),benin_s1t1
Bermuda,19,21,60,3,8,,,bermuda_s3t8
Bhutan,142,34,64,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/n009w342h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/2b88qd74k),bhutan_s3t8
Bolivia,19,5,68,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/b2773w83t),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/2f75r992r),bolivia_s1t2
